Title,Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Engine (cc),URL
Toyota Land Cruiser Sahara V8 ZX 2011 SUV (Used),"Rs. 38,500,000",Toyota,Land Cruiser Sahara V8 ZX,2011,106500,Automatic,Petrol,4600,https://riyasewana.com/buy/toyota-land-cruiser-sale-kalutara-11200612
Tata 207 2012 Pickup (Used),"Rs. 2,450,000",Tata,207,2012,165000,Manual,Diesel,3000,https://riyasewana.com/buy/tata-207-sale-gampaha-11246761
Bajaj Platina 2016 Motorbike (Used),"Rs. 368,000",Bajaj,Platina,2016,0,,,100,https://riyasewana.com/buy/bajaj-platina-sale-horana-11246759
Suzuki Every DA64 2013 Van (Used),Negotiable,Suzuki,Every DA64,2013,191000,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-every-da64-sale-kegalle-11246758
Hero Hunk 2011 Motorbike (Used),"Rs. 285,000",Hero,Hunk,2011,71000,,,150,https://riyasewana.com/buy/hero-hunk-sale-kandy-11246757
Bajaj 4 Stroke 2016 Three Wheel (Used),"Rs. 1,565,000",Bajaj,4 Stroke,2016,41234,Manual,Petrol,205,https://riyasewana.com/buy/bajaj-4-stroke-sale-kurunegala-11246756
Mitsubishi MONTERO V6 2005 SUV (Used),"Rs. 12,675,000",Mitsubishi,MONTERO V6,2005,148900,Automatic,Petrol,3000,https://riyasewana.com/buy/mitsubishi-montero-v6-sale-gampaha-11246762
Toyota Prius 2014 Car (Used),"Rs. 10,800,000",Toyota,Prius,2014,144000,Automatic,Hybrid,1800,https://riyasewana.com/buy/toyota-prius-sale-kalutara-11216242
Toyota KDH 2025 Van Brand New,"Rs. 29,900,000",Toyota,KDH,2025,1,Automatic,Diesel,2800,https://riyasewana.com/buy/toyota-kdh-sale-welisara-11233945
Audi A3 2018 Car (Used),"Rs. 14,500,000",Audi,A3,2018,53000,Automatic,Petrol,999,https://riyasewana.com/buy/audi-a3-sale-malabe-11239121
Honda Fit Aria 2003 Car (Used),"Rs. 4,590,000",Honda,Fit Aria,2003,1,Automatic,Petrol,1330,https://riyasewana.com/buy/honda-fit-aria-sale-moneragala-11246755
Bajaj 2 Stroke 1989 Three Wheel (Used),"Rs. 370,000",Bajaj,2 Stroke,1989,25000,Automatic,Petrol,1,https://riyasewana.com/buy/bajaj-2-stroke-sale-gampaha-11246754
Honda Dio 2017 Motorbike Unregistered (Recondition),Negotiable,Honda,Dio,2017,26000,,,110,https://riyasewana.com/buy/honda-dio-sale-mirigama-11246749
Kia Sorento 2012 SUV (Used),"Rs. 11,800,000",Kia,Sorento,2012,122000,Automatic,Diesel,2200,https://riyasewana.com/buy/kia-sorento-sale-wattala-11246752
Mitsubishi Rosa 1981 Bus (Used),"Rs. 6,500,000",Mitsubishi,Rosa,1981,420000,Manual,Diesel,3989,https://riyasewana.com/buy/mitsubishi-rosa-sale-kilinochchi-11246750
Ranomoto Cityblade 2019 Motorbike (Used),"Rs. 165,000",Ranomoto,Cityblade,2019,32142,,,150,https://riyasewana.com/buy/ranomoto-cityblade-sale-matale-11246748
Toyota Grand Cabin 2000 Van (Used),"Rs. 9,500,000",Toyota,Grand Cabin,2000,417000,Automatic,Diesel,3000,https://riyasewana.com/buy/toyota-grand-cabin-sale-katunayake-11246744
Honda Fit GP5 S Grade 2014 Car (Used),"Rs. 7,950,000",,,,,,,,https://riyasewana.com/buy/honda-fit-gp5-sale-kotikawatta-11142591
Toyota Corolla Ae100 1994 Car (Used),Negotiable,Toyota,Corolla Ae100,1994,245000,Manual,Petrol,1500,https://riyasewana.com/buy/toyota-corolla-ae100-sale-kalutara-11246741
Toyota Dolphin LH113 Diga 2004 Van (Used),"Rs. 9,875,000",Toyota,Dolphin LH113 Diga,2004,195000,Manual,Diesel,3,https://riyasewana.com/buy/toyota-dolphin-lh113-sale-kesbewa-11246742
Demak Demark Explorer Scooter 2018 Motorbike (Used),"Rs. 285,000",Demak,Demark Explorer Scooter,2018,14550,,,125,https://riyasewana.com/buy/demak-demark-explorer-sale-gampaha-11246747
Daihatsu Mira X LIMITED 2018 Car (Used),"Rs. 5,430,000",Daihatsu,Mira X LIMITED,2018,114000,Automatic,Petrol,660,https://riyasewana.com/buy/daihatsu-mira-x-sale-colombo-11246745
Toyota Corolla 110CE 1998 Car (Used),"Rs. 3,095,000",,,,,,,,https://riyasewana.com/buy/toyota-corolla-110ce-sale-embilipitiya-11241326
Suzuki WAGON R FX 2017 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11240650
Honda Fit GE6 I-Vtec 2008 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/honda-fit-ge6-sale-nawala-11245673
Audi A4 B8 2012 Car (Used),"Rs. 11,750,000",,,,,,,,https://riyasewana.com/buy/audi-a4-b8-sale-nugegoda-11211154
Nissan FB15 Ex Saloon 2003 Car (Used),"Rs. 4,650,000",,,,,,,,https://riyasewana.com/buy/nissan-fb15-ex-sale-kurunegala-11240649
Honda Dio 2016 Motorbike (Used),"Rs. 500,000",Honda,Dio,2016,36000,,,110,https://riyasewana.com/buy/honda-dio-sale-gampaha-11246740
Suzuki Alto 2006 Car (Used),Negotiable,Suzuki,Alto,2006,2,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sale-horana-11246735
Suzuki Every DA17 2017 Van (Used),"Rs. 6,100,000",Suzuki,Every DA17,2017,44559,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-every-da17-sale-minuwangoda-11246738
Mahindra Maxximo .vx 2014 Lorry (Used),"Rs. 1,600,000",Mahindra,Maxximo .vx,2014,45000,Manual,Diesel,900,https://riyasewana.com/buy/mahindra-maxximo--vx-sale-matugama-11246737
Nissan FB13 Doctor Sunny Super Saloon 1996 Car (Used),"Rs. 2,200,000",Nissan,FB13 Doctor Sunny Super Saloon,1996,192480,Manual,Petrol,1500,https://riyasewana.com/buy/nissan-fb13-doctor-sale-kurunegala-11246739
Toyota Prius 2013 Car (Used),"Rs. 10,200,000",,,,,,,,https://riyasewana.com/buy/toyota-prius-sale-colombo-11240634
Toyota Vios E Grade 2003 Car (Used),"Rs. 5,150,000",,,,,,,,https://riyasewana.com/buy/toyota-vios-e-sale-matara-11240643
Nissan Hb310 1980 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/nissan-hb310-sale-kuliyapitiya-11240647
Micro Panda 2013 Car (Used),"Rs. 2,540,000",,,,,,,,https://riyasewana.com/buy/micro-panda-sale-bandaragama-11240641
Bajaj Pulsar 150 2015 Motorbike (Used),"Rs. 490,000",Bajaj,Pulsar 150,2015,74000,,,150,https://riyasewana.com/buy/bajaj-pulsar-150-sale-kandy-11246734
Toyota Starlet EP91 1998 Car (Used),"Rs. 4,400,000",,,,,,,,https://riyasewana.com/buy/toyota-starlet-ep91-sale-kesbewa-11240630
Tata Dimo Lokka 2017 Lorry (Used),Negotiable,Tata,Dimo Lokka,2017,65978,Manual,Diesel,1400,https://riyasewana.com/buy/tata-dimo-lokka-sale-kuliyapitiya-11246732
Toyota Axio Limited 2009 Car (Used),Negotiable,Toyota,Axio Limited,2009,138211,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-axio-limited-sale-katunayake-11246733
Hyundai Grand I10 2016 Car (Used),"Rs. 5,500,000",Hyundai,Grand I10,2016,95500,Automatic,Petrol,998,https://riyasewana.com/buy/hyundai-grand-i10-sale-dehiwala-mount-lavinia-11246731
TVS NTORQ 2025 Motorbike (Used),"Rs. 665,000",TVS,NTORQ,2025,9800,,,125,https://riyasewana.com/buy/tvs-ntorq-sale-gampaha-11246730
Changan Changan 2007 Crew Cab (Used),"Rs. 3,975,000",Changan,Changan,2007,1234,Manual,Diesel,2620,https://riyasewana.com/buy/changan-changan-sale-gampaha-11246729
Suzuki Wagon R Stingray J Style 2014 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11240624
Suzuki Alto Lxi 2015 Car (Used),"Rs. 3,775,000",Suzuki,Alto Lxi,2015,147321,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-lxi-sale-divulapitiya-11246727
Bajaj Pulsar 150 2015 Motorbike (Used),"Rs. 490,000",Bajaj,Pulsar 150,2015,74000,,,150,https://riyasewana.com/buy/bajaj-pulsar-150-sale-kandy-11246728
Perodua Bezza G GRADE 2018 Car (Used),"Rs. 6,550,000",,,,,,,,https://riyasewana.com/buy/perodua-bezza-g-sale-panadura-11240626
Toyota Premio 2007 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-premio-sale-anuradapura-11240614
Suzuki Maruti 800 1999 Car (Used),"Rs. 1,490,000",,,,,,,,https://riyasewana.com/buy/suzuki-maruti-800-sale-kurunegala-11240620
Suzuki Wagon R 2018 Car (Used),"Rs. 6,285,000",,,,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-moratuwa-11240619
Kubota RT 140 Peragan 2014 Tractor (Used),"Rs. 525,000",Kubota,RT 140 Peragan,2014,-,Manual,Diesel,609,https://riyasewana.com/buy/kubota-rt-140-sale-hambantota-11246726
Mazda Familia 1988 Car (Used),"Rs. 475,000",Mazda,Familia,1988,34855,Automatic,Petrol,1300,https://riyasewana.com/buy/mazda-familia-sale-minuwangoda-11246725
Bajaj DISCOVER 100 2013 Motorbike (Used),"Rs. 275,000",Bajaj,DISCOVER 100,2013,48500,,,100,https://riyasewana.com/buy/bajaj-discover-100-sale-anuradapura-11246723
Honda Navi 2018 Motorbike (Used),Negotiable,Honda,Navi,2018,30000,,,110,https://riyasewana.com/buy/honda-navi-sale-matara-11246722
Toyota Aqua S Grade 2014 Car (Used),"Rs. 7,275,000",,,,,,,,https://riyasewana.com/buy/toyota-aqua-s-sale-panadura-11240612
Toyota Corolla 121 2003 Car (Used),Negotiable,Toyota,Corolla 121,2003,174000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-corolla-121-sale-kaduwela-11246721
Bajaj Discover 100 2010 Motorbike (Used),"Rs. 210,000",Bajaj,Discover 100,2010,50000,,,100,https://riyasewana.com/buy/bajaj-discover-100-sale-pannipitiya-11246719
Nissan N16 2001 Car (Used),"Rs. 4,350,000",,,,,,,,https://riyasewana.com/buy/nissan-n16-sale-kandy-11240597
Toyota Prius 2013 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-prius-sale-gampaha-11240603
Mitsubishi Minicar 2003 Car (Used),"Rs. 3,400,000",,,,,,,,https://riyasewana.com/buy/mitsubishi-minicar-sale-matugama-11240599
Suzuki SPACIA 2018 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/suzuki-spacia-sale-polonnaruwa-11240609
